Title,English Title,Type,Country,Year,Director and protagonist,Rating,Official Link
肖申克的救赎,The Shawshank Redemption,犯罪剧情,美国,1994,导演:弗兰克·德拉邦特FrankDarabont主演:蒂姆·罗宾斯TimRobbins,9.7,https://movie.douban.com/subject/1292052/
霸王别姬,无,剧情爱情同性,中国大陆中国香港,1993,导演:陈凯歌KaigeChen主演:张国荣LeslieCheung,9.6,https://movie.douban.com/subject/1291546/
阿甘正传,Forrest Gump,剧情爱情,美国,1994,导演:罗伯特·泽米吉斯RobertZemeckis主演:汤姆·汉克斯TomHanks,9.5,https://movie.douban.com/subject/1292720/
泰坦尼克号,Titanic,剧情爱情灾难,美国墨西哥,1997,导演:詹姆斯·卡梅隆JamesCameron主演:莱昂纳多·迪卡普里奥Leonardo...,9.5,https://movie.douban.com/subject/1292722/
这个杀手不太冷,Léon,剧情动作犯罪,法国美国,1994,导演:吕克·贝松LucBesson主演:让·雷诺JeanReno,9.4,https://movie.douban.com/subject/1295644/
千与千寻,千と千尋の神隠し,剧情动画奇幻,日本,2001,导演:宫崎骏HayaoMiyazaki主演:柊瑠美RumiHîragi,9.4,https://movie.douban.com/subject/1291561/
美丽人生,La vita è bella,剧情喜剧爱情战争,意大利,1997,导演:罗伯托·贝尼尼RobertoBenigni主演:罗伯托·贝尼尼RobertoBeni...,9.5,https://movie.douban.com/subject/1292063/
星际穿越,Interstellar,剧情科幻冒险,美国英国加拿大,2014,导演:克里斯托弗·诺兰ChristopherNolan主演:马修·麦康纳MatthewMc...,9.4,https://movie.douban.com/subject/1889243/
盗梦空间,Inception,剧情科幻悬疑冒险,美国英国,2010,导演:克里斯托弗·诺兰ChristopherNolan主演:莱昂纳多·迪卡普里奥Le...,9.4,https://movie.douban.com/subject/3541415/
辛德勒的名单,Schindler's List,剧情历史战争,美国,1993,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:连姆·尼森LiamNeeson...,9.5,https://movie.douban.com/subject/1295124/
楚门的世界,The Truman Show,剧情科幻,美国,1998,导演:彼得·威尔PeterWeir主演:金·凯瑞JimCarrey,9.4,https://movie.douban.com/subject/1292064/
忠犬八公的故事,Hachi: A Dog's Tale,剧情,美国英国,2009,导演:莱塞·霍尔斯道姆LasseHallström主演:理查·基尔RichardGer...,9.4,https://movie.douban.com/subject/3011091/
海上钢琴师,La leggenda del pianista sull'oceano,剧情音乐,意大利,1998,导演:朱塞佩·托纳多雷GiuseppeTornatore主演:蒂姆·罗斯TimRoth,9.3,https://movie.douban.com/subject/1292001/
三傻大闹宝莱坞,3 Idiots,剧情喜剧爱情歌舞,印度,2009,导演:拉库马·希拉尼RajkumarHirani主演:阿米尔·汗AamirKhan,9.2,https://movie.douban.com/subject/3793023/
放牛班的春天,Les choristes,剧情音乐,法国瑞士德国,2004,导演:克里斯托夫·巴拉蒂ChristopheBarratier主演:让-巴蒂斯特·莫尼...,9.3,https://movie.douban.com/subject/1291549/
机器人总动员,WALL·E,科幻动画冒险,美国,2008,导演:安德鲁·斯坦顿AndrewStanton主演:本·贝尔特BenBurtt,9.3,https://movie.douban.com/subject/2131459/
疯狂动物城,Zootopia,喜剧动画冒险,美国,2016,导演:拜伦·霍华德ByronHoward,9.2,https://movie.douban.com/subject/25662329/
无间道,無間道,剧情犯罪惊悚,中国香港,2002,导演:刘伟强,9.3,https://movie.douban.com/subject/1307914/
控方证人,Witness for the Prosecution,剧情犯罪悬疑,美国,1957,导演:比利·怀尔德BillyWilder主演:泰隆·鲍华TyronePower,9.6,https://movie.douban.com/subject/1296141/
大话西游之大圣娶亲,西遊記大結局之仙履奇緣,喜剧爱情奇幻古装,中国香港中国大陆,1995,导演:刘镇伟JeffreyLau主演:周星驰StephenChow,9.2,https://movie.douban.com/subject/1292213/
熔炉,도가니,剧情,韩国,2011,导演:黄东赫Dong-hyukHwang主演:孔侑YooGong,9.4,https://movie.douban.com/subject/5912992/
教父,The Godfather,剧情犯罪,美国,1972,导演:弗朗西斯·福特·科波拉FrancisFordCoppola主演:马龙·白兰度M...,9.3,https://movie.douban.com/subject/1291841/
触不可及,Intouchables,剧情喜剧,法国,2011,导演:奥利维·那卡什OlivierNakache,9.3,https://movie.douban.com/subject/6786002/
当幸福来敲门,The Pursuit of Happyness,剧情传记家庭,美国,2006,导演:加布里尔·穆奇诺GabrieleMuccino主演:威尔·史密斯WillSmith...,9.2,https://movie.douban.com/subject/1849031/
寻梦环游记,Coco,喜剧动画奇幻音乐,美国,2017,导演:李·昂克里奇LeeUnkrich,9.1,https://movie.douban.com/subject/20495023/
末代皇帝,The Last Emperor,剧情传记历史,英国意大利中国大陆法国,1987,导演:贝纳尔多·贝托鲁奇BernardoBertolucci主演:尊龙JohnLone,9.3,https://movie.douban.com/subject/1293172/
龙猫,となりのトトロ,动画奇幻冒险,日本,1988,导演:宫崎骏HayaoMiyazaki主演:日高法子NorikoHidaka,9.2,https://movie.douban.com/subject/1291560/
怦然心动,Flipped,剧情喜剧爱情,美国,2010,导演:罗伯·莱纳RobReiner主演:玛德琳·卡罗尔MadelineCarroll,9.1,https://movie.douban.com/subject/3319755/
活着,无,剧情历史家庭,中国大陆中国香港,1994,导演:张艺谋YimouZhang主演:葛优YouGe,9.3,https://movie.douban.com/subject/1292365/
哈利·波特与魔法石,Harry Potter and the Sorcerer's Stone,奇幻冒险,美国英国,2001,导演:ChrisColumbus主演:DanielRadcliffe,9.2,https://movie.douban.com/subject/1295038/
蝙蝠侠：黑暗骑士,The Dark Knight,剧情动作科幻犯罪惊悚,美国英国,2008,导演:克里斯托弗·诺兰ChristopherNolan主演:克里斯蒂安·贝尔Christ...,9.2,https://movie.douban.com/subject/1851857/
指环王3：王者无敌,The Lord of the Rings: The Return of the King,剧情动作奇幻冒险,美国新西兰,2003,导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood,9.3,https://movie.douban.com/subject/1291552/
我不是药神,无,剧情喜剧,中国大陆,2018,导演:文牧野MuyeWen主演:徐峥ZhengXu,9.0,https://movie.douban.com/subject/26752088/
乱世佳人,Gone with the Wind,剧情历史爱情战争,美国,1939,导演:维克多·弗莱明VictorFleming,9.3,https://movie.douban.com/subject/1300267/
飞屋环游记,Up,剧情喜剧动画冒险,美国,2009,导演:彼特·道格特PeteDocter,9.1,https://movie.douban.com/subject/2129039/
素媛,소원,剧情,韩国,2013,导演:李濬益Jun-ikLee主演:薛景求Kyung-guSol,9.3,https://movie.douban.com/subject/21937452/
十二怒汉,12 Angry Men,剧情,美国,1957,导演:SidneyLumet主演:亨利·方达HenryFonda,9.4,https://movie.douban.com/subject/1293182/
哈尔的移动城堡,ハウルの動く城,动画奇幻冒险,日本,2004,导演:宫崎骏HayaoMiyazaki主演:倍赏千惠子ChiekoBaishô,9.1,https://movie.douban.com/subject/1308807/
让子弹飞,无,剧情喜剧动作西部,中国大陆中国香港,2010,导演:姜文WenJiang主演:姜文WenJiang,9.0,https://movie.douban.com/subject/3742360/
何以为家,كفرناحوم,剧情,黎巴嫩美国法国塞浦路斯卡塔尔英国,2018,导演:娜丁·拉巴基NadineLabaki主演:扎因·拉费阿Zainal-Rafeea,9.1,https://movie.douban.com/subject/30170448/
摔跤吧！爸爸,Dangal,剧情传记运动家庭,印度,2016,导演:涅提·蒂瓦里NiteshTiwari主演:阿米尔·汗AamirKhan,9.0,https://movie.douban.com/subject/26387939/
猫鼠游戏,Catch Me If You Can,传记犯罪剧情,美国加拿大,2002,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:莱昂纳多·迪卡普里奥L...,9.1,https://movie.douban.com/subject/1305487/
天空之城,天空の城ラピュタ,动画奇幻冒险,日本,1986,导演:宫崎骏HayaoMiyazaki主演:田中真弓MayumiTanaka,9.2,https://movie.douban.com/subject/1291583/
鬼子来了,无,剧情喜剧,中国大陆,2000,导演:姜文WenJiang主演:姜文WenJiang,9.3,https://movie.douban.com/subject/1291858/
海蒂和爷爷,Heidi,剧情冒险家庭,德国瑞士,2015,导演:阿兰·葛斯彭纳AlainGsponer主演:阿努克·斯特芬AnukSteffen,9.3,https://movie.douban.com/subject/25958717/
少年派的奇幻漂流,Life of Pi,剧情奇幻冒险,美国中国台湾英国加拿大,2012,导演:李安AngLee主演:苏拉·沙玛SurajSharma,9.1,https://movie.douban.com/subject/1929463/
钢琴家,The Pianist,剧情传记战争音乐,英国法国波兰德国,2002,导演:罗曼·波兰斯基RomanPolanski主演:艾德里安·布洛迪AdrienBrod...,9.3,https://movie.douban.com/subject/1296736/
大话西游之月光宝盒,西遊記第壹佰零壹回之月光寶盒,喜剧爱情奇幻古装,中国香港中国大陆,1995,导演:刘镇伟JeffreyLau主演:周星驰StephenChow,9.0,https://movie.douban.com/subject/1299398/
指环王2：双塔奇兵,The Lord of the Rings: The Two Towers,剧情动作奇幻冒险,美国新西兰,2002,导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood,9.2,https://movie.douban.com/subject/1291572/
闻香识女人,Scent of a Woman,剧情,美国,1992,导演:马丁·布莱斯MartinBrest主演:阿尔·帕西诺AlPacino,9.1,https://movie.douban.com/subject/1298624/
死亡诗社,Dead Poets Society,剧情,美国,1989,导演:彼得·威尔PeterWeir主演:罗宾·威廉姆斯RobinWilliams,9.2,https://movie.douban.com/subject/1291548/
绿皮书,Green Book,剧情喜剧传记音乐,美国中国大陆,2018,导演:彼得·法雷里PeterFarrelly主演:维果·莫腾森ViggoMortensen,8.9,https://movie.douban.com/subject/27060077/
罗马假日,Roman Holiday,喜剧剧情爱情,美国,1953,导演:威廉·惠勒WilliamWyler主演:奥黛丽·赫本AudreyHepburn,9.1,https://movie.douban.com/subject/1293839/
大闹天宫,无,1978(中国大陆),1964(中国大陆),1961(中国大陆),导演:万籁鸣LaimingWan主演:邱岳峰YuefengQiu,9.4,https://movie.douban.com/subject/1418019/
天堂电影院,Nuovo Cinema Paradiso,剧情爱情,意大利法国,1988,导演:朱塞佩·托纳多雷GiuseppeTornatore主演:菲利普·努瓦雷Philipp...,9.2,https://movie.douban.com/subject/1291828/
指环王1：护戒使者,The Lord of the Rings: The Fellowship of the Ring,剧情动作奇幻冒险,新西兰美国,2001,导演:彼得·杰克逊PeterJackson主演:伊利亚·伍德ElijahWood,9.1,https://movie.douban.com/subject/1291571/
黑客帝国,The Matrix,动作科幻,美国,1999,导演:安迪·沃卓斯基AndyWachowski,9.1,https://movie.douban.com/subject/1291843/
教父2,The Godfather: Part II,剧情犯罪,美国,1974,导演:弗朗西斯·福特·科波拉FrancisFordCoppola主演:阿尔·帕西诺A...,9.3,https://movie.douban.com/subject/1299131/
狮子王,The Lion King,动画冒险歌舞,美国,1994,导演:RogerAllers,9.1,https://movie.douban.com/subject/1301753/
辩护人,변호인,剧情,韩国,2013,导演:杨宇硕Woo-seokYang主演:宋康昊Kang-hoSong,9.2,https://movie.douban.com/subject/21937445/
饮食男女,飲食男女,剧情家庭,中国台湾美国,1994,导演:李安AngLee主演:郎雄SihungLung,9.2,https://movie.douban.com/subject/1291818/
搏击俱乐部,Fight Club,剧情动作悬疑惊悚,美国,1999,导演:大卫·芬奇DavidFincher主演:爱德华·诺顿EdwardNorton,9.0,https://movie.douban.com/subject/1292000/
本杰明·巴顿奇事,The Curious Case of Benjamin Button,剧情爱情奇幻,美国,2008,导演:大卫·芬奇DavidFincher主演:凯特·布兰切特CateBlanchett,9.0,https://movie.douban.com/subject/1485260/
美丽心灵,A Beautiful Mind,传记剧情,美国,2001,导演:朗·霍华德RonHoward主演:罗素·克劳RussellCrowe,9.1,https://movie.douban.com/subject/1306029/
穿条纹睡衣的男孩,The Boy in the Striped Pajamas,剧情战争,英国美国,2008,导演:马克·赫尔曼MarkHerman主演:阿萨·巴特菲尔德AsaButterfield...,9.2,https://movie.douban.com/subject/3008247/
窃听风暴,Das Leben der Anderen,剧情悬疑,德国,2006,导演:弗洛里安·亨克尔·冯·多纳斯马尔克FlorianHenckelvonDonnersmarck&n...,9.2,https://movie.douban.com/subject/1900841/
情书,Love Letter,剧情爱情,日本,1995,导演:岩井俊二ShunjiIwai主演:中山美穗MihoNakayama,8.9,https://movie.douban.com/subject/1292220/
两杆大烟枪,"Lock, Stock and Two Smoking Barrels",剧情喜剧犯罪,英国,1998,导演:盖·里奇GuyRitchie主演:杰森·弗莱明JasonFlemyng,9.1,https://movie.douban.com/subject/1293350/
西西里的美丽传说,Malèna,剧情战争情色,意大利美国,2000,导演:朱塞佩·托纳多雷GiuseppeTornatore主演:莫妮卡·贝鲁奇Monica...,8.9,https://movie.douban.com/subject/1292402/
音乐之声,The Sound of Music,剧情传记爱情歌舞,美国,1965,导演:罗伯特·怀斯RobertWise主演:朱莉·安德鲁斯JulieAndrews,9.1,https://movie.douban.com/subject/1294408/
看不见的客人,Contratiempo,剧情犯罪悬疑惊悚,西班牙,2016,导演:奥里奥尔·保罗OriolPaulo主演:马里奥·卡萨斯MarioCasas,8.8,https://movie.douban.com/subject/26580232/
阿凡达,Avatar,动作科幻冒险,美国,2009,导演:詹姆斯·卡梅隆JamesCameron主演:萨姆·沃辛顿SamWorthington...,8.8,https://movie.douban.com/subject/1652587/
哈利·波特与死亡圣器(下),Harry Potter and the Deathly Hallows: Part 2,奇幻冒险,美国英国,2011,导演:大卫·叶茨DavidYates主演:丹尼尔·雷德克里夫DanielRadcliffe...,9.0,https://movie.douban.com/subject/3011235/
拯救大兵瑞恩,Saving Private Ryan,剧情战争,美国,1998,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:汤姆·汉克斯TomHanks...,9.1,https://movie.douban.com/subject/1292849/
飞越疯人院,One Flew Over the Cuckoo's Nest,剧情,美国,1975,导演:米洛斯·福尔曼MilošForman主演:杰克·尼科尔森JackNichols...,9.1,https://movie.douban.com/subject/1292224/
小鞋子,بچه های آسمان,剧情儿童家庭,伊朗,1997,导演:马基德·马基迪MajidMajidi主演:默罕默德·阿米尔·纳吉Mohamma...,9.2,https://movie.douban.com/subject/1303021/
沉默的羔羊,The Silence of the Lambs,剧情犯罪惊悚,美国,1991,导演:乔纳森·戴米JonathanDemme主演:朱迪·福斯特JodieFoster,8.9,https://movie.douban.com/subject/1293544/
功夫,无,动作喜剧犯罪奇幻,中国大陆中国香港,2004,导演:周星驰StephenChow主演:周星驰StephenChow,8.8,https://movie.douban.com/subject/1291543/
布达佩斯大饭店,The Grand Budapest Hotel,剧情喜剧冒险,美国德国英国,2014,导演:韦斯·安德森WesAnderson主演:拉尔夫·费因斯RalphFiennes,8.9,https://movie.douban.com/subject/11525673/
禁闭岛,Shutter Island,剧情悬疑惊悚,美国,2010,导演:MartinScorsese主演:莱昂纳多·迪卡普里奥LeonardoDiCaprio,8.9,https://movie.douban.com/subject/2334904/
蝴蝶效应,The Butterfly Effect,剧情悬疑科幻惊悚,美国加拿大,2004,导演:埃里克·布雷斯EricBress,8.9,https://movie.douban.com/subject/1292343/
致命魔术,The Prestige,剧情悬疑惊悚,英国美国,2006,导演:克里斯托弗·诺兰ChristopherNolan主演:休·杰克曼HughJackman...,8.9,https://movie.douban.com/subject/1780330/
哈利·波特与阿兹卡班的囚徒,Harry Potter and the Prisoner of Azkaban,奇幻冒险,英国美国,2004,导演:AlfonsoCuarón主演:丹尼尔·雷德克里夫DanielRadcliffe,8.9,https://movie.douban.com/subject/1291544/
心灵捕手,Good Will Hunting,剧情,美国,1997,导演:格斯·范·桑特GusVanSant主演:马特·达蒙MattDamon,8.9,https://movie.douban.com/subject/1292656/
超脱,Detachment,剧情,美国,2011,导演:托尼·凯耶TonyKaye主演:艾德里安·布洛迪AdrienBrody,9.0,https://movie.douban.com/subject/5322596/
低俗小说,Pulp Fiction,剧情喜剧犯罪,美国,1994,导演:昆汀·塔伦蒂诺QuentinTarantino主演:约翰·特拉沃尔塔JohnTra...,8.9,https://movie.douban.com/subject/1291832/
海豚湾,The Cove,纪录片,美国,2009,导演:路易·西霍尤斯LouiePsihoyos主演:路易·西霍尤斯LouiePsihoyo...,9.3,https://movie.douban.com/subject/3442220/
摩登时代,Modern Times,剧情喜剧爱情,美国,1936,导演:查理·卓别林CharlesChaplin主演:查理·卓别林CharlesChaplin...,9.3,https://movie.douban.com/subject/1294371/
春光乍泄,春光乍洩,剧情爱情同性,中国香港日本韩国,1997,导演:王家卫KarWaiWong主演:张国荣LeslieCheung,9.0,https://movie.douban.com/subject/1292679/
